title,description,date
UPDATES FROM MAROTTI AND FLEMING,Mickey Marotti says Ohio State analyzes every year what it can do better to prevent injuries and Parker Fleming feels the kicker competition is “in a good place.”,2023-05-30
UTV ACCIDENT “A LEARNING OPPORTUNITY”,"Brian Hartline addressed his April UTV accident on Tuesday and says “in hindsight, I probably would’ve rather went to bed than rode in a side-by-side.”",2023-05-30
BUCKEYES 3RD IN NATIONAL TITLE ODDS,"Ohio State has the third-best odds to win the national championship, slightly better odds than Michigan to win the Big Ten and an over/under of 10.5 regular-season wins.",2023-05-30
HOW DEFENSES FARE IN YEAR 2 UNDER KNOWLES,"Defensive improvements under Jim Knowles haven’t always been night and day between his first two seasons at previous stops, but OSU is on the right trajectory ahead of 2023.",2023-05-30
"HICKS, POWERS SHOWING LB FUTURE IS BRIGHT","Even if they don't factor heavily into the rotation this season, C.J. Hicks and Gabe Powers showed Ohio State’s future at linebacker is bright with standout performances this...",2023-05-29
CURRY WORKING TO GET SPEED BACK,"Caden Curry felt like he lost some speed after gaining 15 pounds as a freshman, but he was feeling “looser and faster” this spring as he tracks toward a bigger role as a...",2023-05-29
JAHSEN WINT TO RESUME CAREER AT MARSHALL,"Former Ohio State safety Jahsen Wint announces he will transfer to Marshall, where he plans to resume his college football career three years after his Ohio State career ended.",2023-05-28
ADDRESSABLE MARKET,We all know the most important stats in football but sub-metrics that feed into those biggies can hold root cause. Here are five statistical areas OSU could stand to improve this...,2023-05-28
FOURTH YEAR CRUCIAL FOR FLEMING'S FUTURE,"Julian Fleming may be overshadowed by Marvin Harrison Jr. and Emeka Egbuka, but Brian Hartline and Jaxon Smith-Njigba expect big things from him in 2023.",2023-05-27
RIEP TO RESUME COLLEGE FOOTBALL CAREER,"Former Ohio State defensive back Amir Riep is resuming his college football career at Lincoln University, three years after his Buckeye career ended.",2023-05-26
CONSISTENCY THE NEXT STEP FOR JT,Larry Johnson thinks refining the small details of his skill set will allow JT Tuimoloau to become consistently elite in 2023 after flashing superstar potential last season.,2023-05-26
BEAUTIFUL DETRITUS,"Even in an inconsequential nonconference win, the mountain of random stuff generated by a single Ohio State home game is absolutely beautiful.",2023-05-26
HOW DAY COMPARES TO PAST OSU COACHES,"Ryan Day has the second-best win percentage and most outright Big Ten titles in his first four years as Ohio State’s head coach, but hasn’t had the same success vs. Michigan.",2023-05-26
WILL SMITH JR.,Will Smith Jr. looks to continue his father’s legacy and develop into an impact player on Ohio State’s defensive line.,2023-05-25
NIGHT GAME AT NOTRE DAME,Ohio State’s Sept. 23 road game at Notre Dame will kick off at 7:30 p.m. and will be televised by NBC.,2023-05-24
"PAYOUTS FOR MARSHALL, NEVADA, CHARLOTTE",Ohio State will pay $1.6 million to Marshall in 2024 and $1.8 million to both Nevada and Charlotte in 2029 for future games at Ohio Stadium announced earlier this month.,2023-05-24
ANALYZING EARLY BETTING LINES FOR OSU,We take a look at the game lines and futures lines relative to Ohio State that have been released so far and identify which bets we’d be most (and least) inclined to make.,2023-05-24
OSU HIRES JOE PHILBIN AS OFFENSIVE ANALYST,Former Miami Dolphins head coach and Green Bay Packers offensive coordinator Joe Philbin has joined the Ohio State staff as an offensive analyst.,2023-05-23
TOP FIVE THROWS OF THE DECADE,"Ohio State’s past decade has been full of stellar quarterback play, so we took a look back at the five most impressive passes in the last 10 years of Buckeye football.",2023-05-23
MICHIGAN FAVORED BY 2.5 IN THE GAME,DraftKings Sportsbook lists Ohio State as a 2.5-point underdog against Michigan in The Game and as a 10-point favorite against Wisconsin.,2023-05-23
KENYATTA CARRYING MOMENTUM INTO SUMMER,"After a quiet freshman season, Kenyatta Jackson made noise all spring to put himself atop the list of young DEs who look ready for a major step up in playing time in 2023.",2023-05-22
"MICKENS BRINGS HIGH UPSIDE, ASPIRATIONS",Joshua Mickens believes the Jack position would be “the perfect fit” for his skill set and his high school coach believes Mickens has the ability to develop into a first-round...,2023-05-22
OSU A FOUR-TOUCHDOWN FAVORITE OVER IU,DraftKings Sportsbook lists Ohio State as a 28-point favorite over Indiana to begin the 2023 season.,2023-05-22
MIDDLE MANAGEMENT,"After earning first team All-American and All-B1G honors a year ago, Tommy Eichenberg's return for one more season gives Ohio State's defense the anchor it needs to be great.",2023-05-21
ANTWI STAYING FOCUSED ON DEVELOPMENT,Kojo Antwi is keeping his sights set on continuing to improve and taking coaching from Brian Hartline as he waits his turn in the Buckeyes’ loaded wide receiver room.,2023-05-21
"SETBACK MADE HANCOCK “LEARN TO GROW""","Finally healthy after an injury-riddled 2022 season, Jordan Hancock excelled at CB all spring. But he’ll still have to hold off Davison Igbinosun to secure a starting job in...",2023-05-20
SINGLE-GAME TICKETS ON SALE IN JUNE,Ohio State will begin selling “Pick 3” mini-plans for the 2023 season on June 7 and single-game tickets for its six home games on June 16.,2023-05-19
WHERE OSU TRANSFERS WILL PLAY IN 2023,"Kentucky, Texas and Florida are among the schools with multiple former Buckeyes on their roster as 38 Ohio State transfers are set to play for other college football teams in 2023.",2023-05-19
OSU'S UNRESOLVED POSITION BATTLES,"Quarterback, right tackle and Ohio State's second starting cornerback job are among the Buckeyes' unresolved position battles entering the summer.",2023-05-19
NBC HIRES JOSHUA PERRY,Former Ohio State linebacker Joshua Perry is joining NBC as an analyst as the network prepares for its first season of televising Big Ten football this fall.,2023-05-18
"BROWN CROSS-TRAINING AT CORNER, NICKEL",Jyaire Brown split his time lining up outside and inside this spring as he looks to increase his value and earn a role in Ohio State’s secondary as a sophomore.,2023-05-18
JOSHUA PADILLA,Joshua Padilla never played center in high school but will transition to the new position as a Buckeye to be an anchor in the middle of the offensive line down the road.,2023-05-18
MARV’S SHADOW WON'T SLOW EGBUKA,"MarvMania continues to build over the offseason, but while Emeka Egbuka seems to be flying under the radar, he still might be the second-best WR in college football.",2023-05-18
THE CHOIR INVISIBLE,"“The best offense is a good defense” might be the most profound sentiment in the history of college football. But right now, it’s simply not true.",2023-05-17
RANKING OSU'S NEW TRANSFERS BY IMPACT,Griffin and Chase take inventory of Ohio State's eight-man transfer class and rank each new Buckeye by their potential impact on the field in 2023.,2023-05-17
ANTWUAN JACKSON SIGNS WITH PANTHERS,Former Ohio State defensive tackle Antwuan Jackson has signed a contract with the Panthers after impressing Carolina's coaches at the team's rookie minicamp.,2023-05-16
DEFENSIVE TACKLE DEPTH TAKES SHAPE,"Ohio State's DT rotation seemed top-heavy entering the offseason, but the addition of Tywone Malone and spring game performance of Hero Kanu should mitigate any concerns.",2023-05-16
TARON VINCENT SIGNS WITH RAMS,Former Ohio State defensive tackle Taron Vincent has reportedly signed a contract with the Los Angeles Rams.,2023-05-15
NOON KICK ON FOX FOR THE GAME,Ohio State and Michigan will collide at noon on FOX in Ann Arbor on Nov. 25 in the 2023 edition of The Game.,2023-05-15
OSU-MSU TO KICK AT 7:30 ON NBC,The Buckeyes will host Sparty under the lights at the Horseshoe on Nov. 11 in a matchup that will be televised on NBC.,2023-05-15
TIME FOR INJURY LUCK TO CHANGE,The 2022 Buckeyes were snake bit by injuries to their top two tailbacks worse than any OSU squad since Ryan Day joined the staff.,2023-05-14
BUCKEYES ADD MORE WITHOUT LOSING MUCH,"Ohio State brought in far more transfers than ever before while losing only nine outgoing transfers, tied for the second-fewest among Power 5 schools.",2023-05-13
THE OFFSEASON GAME IS AFOOT!,The best part of the depths of the offseason is the opportunity to let your deepest anxieties about the upcoming football season run wild.,2023-05-12
HENRY’S CANCER IN REMISSION,"Ohio State offensive lineman Avery Henry, who was diagnosed with osteosarcoma in December, announced Thursday that his cancer is in remission.",2023-05-11
PANTHERS RE-SIGN MICHAEL JORDAN,Former Ohio State guard Michael Jordan re-signed with the Carolina Panthers on Thursday.,2023-05-11
STROUD AND SMITH-NJIGBA STILL 7/11,"C.J. Stroud will wear No. 7 for the Houston Texans and Jaxon Smith-Njigba will wear No. 11 for the Seattle Seahawks, but Paris Johnson Jr. and Zach Harrison have new numbers.",2023-05-11
ARVELL REESE,"Arvell Reese is still new to the linebacker position, but his size, speed and instincts give him high upside as a playmaker with the potential to also play on the edge.",2023-05-11
"OHIO STATE ADDS TO 2024, 2029 SCHEDULES","Ohio State football announced Marshall as a new opponent in 2024 and added Nevada and Charlotte as opponents in 2029, with all three matchups to be played at Ohio Stadium.",2023-05-10
UPDATED DEPTH CHART PROJECTION,Our updated depth chart projection looks at where the Buckeyes’ post-spring transfers could fit in and how Ohio State could fill the spots vacated by outgoing transfers.,2023-05-10
BUCKEYES ADD DT DEPTH WITH TYWONE MALONE,"Ohio State adds its second Ole Miss transfer of the offseason as former Rebels defensive tackle Tywone Malone commits to the Buckeyes, bolstering their DT depth.",2023-05-09
SEIBERT TRANSFERRING TO NIU,Former Ohio State kicker Jake Seibert is transferring to Northern Illinois after three seasons with the Buckeyes.,2023-05-09
STROUD FELT SLIGHTED WHEN OSU ADDED EWERS,"In an interview with Maverick Carter and Paul Rivera of The Shop, C.J. Stroud said he felt “disrespected” when Ohio State added Quinn Ewers ahead of the 2021 season.",2023-05-08
BEN CHRISTMAN TRANSFERS TO KENTUCKY,Former Ohio State offensive lineman Ben Christman will head one state south to Kentucky after two seasons in Columbus.,2023-05-07
HARTLINE LOOKS TO UTILIZE JOHNSON MORE,Brian Hartline thinks highly of Xavier Johnson’s ability as both a receiver and a running back and says “it's our job to find ways to use that” in Ohio State’s offense this...,2023-05-08
STAR-VING,"Ohio State hasn't had a great defense since 2019 and while some blame other factors, a lack of NFL-level talent is the root cause. Does the 2023 defense have the stars to be elite?...",2023-05-07
CALEB BURTON TRANSFERS TO AUBURN,"Former Ohio State wide receiver Caleb Burton is headed south, transferring to Auburn after one year with the Buckeyes.",2023-05-06
TRESSEL THROWS FIRST PITCH IN CLEVELAND,Former Ohio State head coach Jim Tressel threw out the ceremonial first pitch at Friday's Cleveland Guardians game in honor of Youngstown State University Night.,2023-05-05
ROSSI PARTICIPATING IN GIANTS’ MINICAMP,Former Ohio State fullback/tight end Mitch Rossi is trying out for the New York Giants at their rookie minicamp this weekend.,2023-05-05
A FINAL REVIEW OF OHIO STATE’S 2017 CLASS,"Chase Young, Jeff Okudah, Wyatt Davis and J.K. Dobbins were among the seven All-Americans and 10 NFL draft picks from Ohio State’s highly productive 2017 recruiting class.",2023-05-05
KALEB BROWN TRANSFERRING TO IOWA,"Former Ohio State wide receiver Kaleb Brown is staying in the Big Ten, transferring to Iowa after one year with the Buckeyes.",2023-05-04
JACKSON'S LEADERSHIP CRUCIAL FOR OL,"Donovan Jackson's teammates say he's doing ""the most amazing job"" of leading the Buckeyes this offseason, and it's a role of high importance for OSU's retooled offensive line.",2023-05-04
LINCOLN KIENHOLZ,"Lincoln Kienholz can lean on his playmaking ability as a dual-threat quarterback as he continues to build on his 6-foot-2, 182-pound frame and adapt to the speed of the college...",2023-05-04
2023 NFL ALL-BUCKEYE TEAM,"With another new crop of Ohio State alums now in the NFL, we take an updated look at how a 53-man roster of Buckeyes would stack up entering the 2023 NFL season.",2023-05-04
VRABEL VOTED INTO PATRIOTS HALL OF FAME,Ohio State and New England Patriots great Mike Vrabel has been selected as the 2023 player inductee into the Patriots Hall of Fame.,2023-05-03
"SIMMONS CHOSE OSU FOR COACHES, IMPROVEMENT","Ohio State offensive tackle transfer Josh Simmons said he chose OSU because of the coaching staff and is eager to improve “in every facet,” especially as a run blocker.",2023-05-03
CRUMBLIN' DOWN,The Indiana Hoosiers are not even pretending to field a competitive or relevant football program anymore.,2023-05-03
TRANSFER ANALYSIS AND DRAFT RECAP,"We discuss how Josh Simmons and Lorenzo Styles will fit in at Ohio State, recap Ohio State’s 2023 NFL draft and look ahead to what could be a loaded 2024 draft class.",2023-05-03
OHIO STATE POSTS HIGHEST APR EVER,"Ohio State has an Academic Progress Rate of 993 for the football team and the athletic department as a whole, setting the best marks in school history for both.",2023-05-02
2024-25 CFP GAMES MOSTLY ON WEEKNIGHTS,"The College Football Playoff has finalized bowl dates and time slots for the 2024 and 2025 seasons, which will feature a 12-team playoff for the first time in the sport's history.",2023-05-02
HOW OSU’S DRAFT PICKS FIT THEIR NFL TEAMS,"C.J. Stroud is Houston’s new face of the franchise, Paris Johnson Jr. could play either tackle or guard in Arizona and Jaxon Smith-Njigba gives Seattle an elite trio of...",2023-05-02
JSN “ALL IN” WITH SEAHAWKS,"Jaxon Smith-Njigba thinks he'll contribute to an ""electric"" Seattle Seahawk offense in 2023 and is confident ""I can dominate"" in the NFL.",2023-05-02
NFL TO AUCTION OFF OSU DRAFT MEMORABILIA,"The NFL will auction off Paris Johnson Jr.'s autographed draft night hat, jersey and helmet to support veterans and student-athletes via The Paris Johnson Jr. Foundation.",2023-04-30
“A REALLY SPECIAL FEELING”,"C.J. Stroud believes there's ""no limit"" on what he can accomplish during his rookie year with the Houston Texans and says ""we can turn this whole thing around"" in 2023.",2023-05-01
VINCENT INVITED TO BILLS ROOKIE CAMP,"After going unselected in the 2023 NFL draft, former Ohio State defensive tackle Taron Vincent’s chance to make a roster will come at the Buffalo Bills’ rookie minicamp.",2023-05-01
OSU’S 2024 DRAFT CLASS LOOKS LOADED,An early look at the draft-eligible talent on the 2023 roster shows Ohio State could have one of its strongest and deepest draft classes ever in 2024.,2023-05-01
KALEB BROWN ENTERS TRANSFER PORTAL,"Ohio State wide receiver Kaleb Brown enters the transfer portal, becoming the second member of the Buckeyes’ 2022 wide receiver class to leave the team after spring practices.",2023-04-30
BOB KENNEDY PASSES AWAY AT 59,"Bob Kennedy, the longtime PA announcer for Ohio State football and several other sports, died Sunday at 59 years old.",2023-04-30
YOU GOTTA HAVE FAITH,"The Houston Texans made the right call to draft C.J. Stroud with the second pick in the NFL Draft, but that required them to ignore a lot of noise.",2023-04-30
2023 NFL DRAFT CENTRAL,"Eleven Warriors' complete coverage of the 2023 NFL draft featuring updated picks, reactions and storylines.",2023-04-27
SAINTS SIGN JERRON CAGE,Former Ohio State defensive tackle Jerron Cage is joining the New Orleans Saints as an undrafted free agent.,2023-04-29
SIX BUCKEYES DRAFTED FOR 2ND STRAIGHT YEAR,Ohio State had exactly six total players drafted with only one defensive player selected for the second year in a row.,2023-04-29
CHARGERS SIGN CAM BROWN,Former Ohio State cornerback Cam Brown will get his chance to compete for an NFL roster spot after signing with the Los Angeles Chargers as an undrafted free agent.,2023-04-29
LORENZO STYLES COMING HOME,"Lorenzo Styles is transferring to Ohio State as a cornerback, joining his younger brother Sonny in the Buckeyes’ secondary, after two years as a wide receiver at Notre Dame.",2023-04-29
BROWNS SIGN HICKMAN,"Ronnie Hickman didn't get selected in the 2023 NFL draft, but he'll have a chance to make an NFL roster with the Cleveland Browns nonetheless.",2023-04-29
BROWNS SIGN MCCALISTER,Former Ohio State safety Tanner McCalister signs with the Cleveland Browns as an undrafted free agent.,2023-04-29
BROWNS DRAFT LUKE WYPLER,"Former Ohio State center Luke Wypler goes to the Cleveland Browns as the No. 190 overall pick, joining fellow Buckeye offensive lineman Dawand Jones in Cleveland.",2023-04-29
RYAN DAY GIVES THANKS TO FORMER PLAYERS,"From C.J. Stroud to Zach Harrison, Ohio State head coach Ryan Day thanked some of his former players before the NFL draft started on Thursday.",2023-04-27
BROWNS DRAFT DAWAND JONES,Dawand Jones is the second Ohio State offensive tackle selected in the 2023 NFL draft as the Cleveland Browns select him with the No. 111 overall pick in the fourth round.,2023-04-29
"JONES, WYPLER STILL SEEKING OPPORTUNITY",Dawand Jones and Luke Wypler both fall to the final day of the NFL draft as several Buckeyes are still seeking opportunities at the next level Saturday.,2023-04-29
FALCONS DRAFT ZACH HARRISON,The Atlanta Falcons select Ohio State defensive end Zach Harrison with the No. 75 overall pick in the 2023 NFL draft.,2023-04-28
BUCKEYE BROTHERHOOD ON DISPLAY AT DRAFT,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba showed their love for one another and Ohio State as their first-round NFL draft dreams came true Thursday night.",2023-04-28
PARIS WANTS TO FINISH WHAT FATHER STARTED,"Twenty-four years after his father was drafted by the same organization, Paris Johnson Jr. wants to ""finish what my dad couldn't"" with the Arizona Cardinals.",2023-04-28
SEAHAWKS DRAFT JSN 20TH OVERALL,Jaxon Smith-Njigba becomes Ohio State’s third first-round receiver in a two-year span as the Seahawks select Smith-Njigba with the No. 20 overall pick in the 2023 NFL draft.,2023-04-27
TWO TOP-SIX PICKS FOR FOURTH TIME EVER,C.J. Stroud and Paris Johnson Jr. give Ohio State two of the top six picks in the NFL draft for the fourth time in program history.,2023-04-27
2023 NFL DRAFT,"Buckeye Nation sounds off on social media as C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba are selected in the first round of the NFL draft.",2023-04-27
CARDINALS DRAFT PARIS AT NO. 6,Paris Johnson Jr. is officially off the board in the 2023 NFL draft as the highest-drafted Ohio State tackle since Orlando Pace.,2023-04-27
STROUD DRAFTED 2ND BY TEXANS,"The Houston Texans select C.J. Stroud with the No. 2 overall pick in the 2023 NFL draft, becoming Ohio State’s highest-drafted quarterback ever.",2023-04-27
DAY DEFENDS STROUD AMID S2 CONTROVERSY,"Ryan Day says only 15 NFL teams use the S2 test, which measures “your eye reaction and reaction to buttons,” and says “some of those test scores weren't accurate.”",2023-04-27
MALIK HARTFORD,"Malik Hartford has the experience, ball-hawking ability, instincts and range to excel in Jim Knowles' three-safety defense at Ohio State.",2023-04-27
FOUR NFL DRAFT BOLD PREDICTIONS,Paris Johnson Jr. getting selected ahead of C.J. Stroud is one of four bold predictions from Eleven Warriors’ Garrick Hodge ahead of the 2023 NFL draft.,2023-04-27
2023 NFL DRAFT PREVIEW,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba headline a draft full of intrigue for Ohio State as the Buckeyes look to have three top-15 picks for the fourth time ever.",2023-04-27
HAMILTON AGREES TO EXTENSION WITH JAGS,"Former Ohio State defensive tackle DaVon Hamilton has reportedly signed a three-year, $34.5 million contract extension with the Jacksonville Jaguars.",2023-04-26
“I KNOW WHAT I CAN DO ON THE FIELD”,C.J. Stroud says his reported S2 Cognition score doesn’t reflect his football aptitude because “I know I can process very well“ and “you can’t play at Ohio State and not...,2023-04-26
JSN ENJOYING “ONCE-IN-A-LIFETIME” MOMENT,"Jaxon Smith-Njigba is ""trying to take advantage of it all"" on the eve of NFL draft night and thinks three Buckeye wide receivers could be standing in his shoes at this time next...",2023-04-26
JOHNSON ABOUT TO FULFILL CHILDHOOD VISION,Paris Johnson Jr. has envisioned being a first-round NFL draft pick since he was 5 years old. He’s “super grateful” as that dream is about to come true Thursday night.,2023-04-26
MAGNIFICENT 7,"Ohio State's most promising professional quarterback has no division titles, national titles, Heisman trophies or rivalry wins to his credit.",2023-04-26
CHRISTMAN ENTERS TRANSFER PORTAL,Four-star recruit and Akron native Ben Christman enters the transfer portal after two seasons on the Ohio State offensive line.,2023-04-26
COMMANDERS DECLINE YOUNG'S 5TH-YEAR OPTION,The Washington Commanders have reportedly declined former Ohio State defensive end Chase Young's fifth-year option.,2023-04-26
2023 NFL DRAFT PREVIEW,We discuss why C.J. Stroud’s Ohio State career should dispel any narratives about his processing ability and project where every Buckeye will end up in the NFL draft.,2023-04-26
3 OL DRAFTEES A RARE FEAT FOR OSU,"All potential early-round NFL draft picks, Paris Johnson Jr., Dawand Jones and Luke Wypler are on the cusp of becoming the first trio of Ohio State OL draftees since 2004.",2023-04-26
2023 NFL MOCK DRAFT,We make projections for all 31 first-round picks and where all of Ohio State’s top prospects will end up in the 2023 NFL draft.,2023-04-25
BURTON ENTERS PORTAL,Ohio State redshirt freshman wide receiver Caleb Burton has entered the transfer portal after just one season as a Buckeye in which he did not play any snaps.,2023-04-25
"""I THINK HE’LL BE A GREAT PROFESSIONAL""","Tanner McCalister may not be a guaranteed draft pick, but the athleticism he showed at pro day and his high football IQ give him a chance to be ""a great professional.""",2023-04-25
HARRISON EAGER TO PROVE BELIEVERS RIGHT,"Zach Harrison is eager to ""prove people who believed in me right"" at the next level and thinks his best football is yet to come in the NFL.",2023-04-24
BUCKEYES SET TO EXTEND 1ST-ROUND PICK LEAD,Ohio State is in line to become the first school ever with 90 first-round NFL draft picks in what should be another prolific draft for the Buckeyes this week.,2023-04-24
SECOND-YEAR DEFENDERS SHOW THEIR POTENTIAL,"Ohio State’s second-year defenders stood out in the spring game, showing why its recruiting class of 2022 was full of highly touted prospects on that side of the ball.",2023-04-23
THE TOP BUCKEYES AT EVERY FIRST-ROUND PICK,We highlight Ohio State’s best first-round NFL draft picks from the No. 1 overall pick to No. 32.,2023-04-22
PARIS PREPARING TO FULFILL “FIRST DREAM”,"Paris Johnson Jr. has dreamt of being selected in the NFL draft ""since I was 5 years old,"" and the Buckeye OL is only five days away from realizing his dream.",2023-04-22
SAMUEL WEARING NO. 4 AGAIN,"Curtis Samuel will return to wearing No. 4, the number he wore at Ohio State, for the Washington Commanders this season.",2023-04-21
MOCK DRAFT PROJECTIONS WITH ONE WEEK TO GO,The Houston Texans are a projected landing spot for both C.J. Stroud and Jaxon Smith-Njigba while Paris Johnson Jr. is a popular pick for the Chicago Bears.,2023-04-21
ANALYSTS FEUD OVER C.J. STROUD,"Fox Sports college football analyst Brady Quinn shared concerns NFL teams have about C.J. Stroud, which led to a media squabble with ESPN NFL analyst Ryan Clark.",2023-04-20
